date,latitude,longitude,count,frp
2023-10-07,27.84,77.64,1,1.26
2023-10-07,27.96,77.70,1,1.17
2023-10-07,28.02,77.58,2,4.57
2023-10-07,28.02,78.00,1,3.89
2023-10-07,28.08,77.94,1,1.45
2023-10-07,28.50,76.74,1,1.88
2023-10-07,28.68,77.58,1,0.64
2023-10-07,29.04,77.16,1,2.45
2023-10-07,29.10,77.10,1,1.52
2023-10-07,29.22,76.14,1,4.80
2023-10-07,29.34,76.86,1,2.01
2023-10-07,29.40,76.08,1,2.04
2023-10-07,29.58,74.58,1,3.61
2023-10-07,29.58,76.08,1,10.31
2023-10-07,29.64,74.22,2,11.07
2023-10-07,29.64,74.34,1,3.22
2023-10-07,29.76,76.44,1,3.20
2023-10-07,29.82,76.20,1,4.15
2023-10-07,29.82,76.62,1,3.06
2023-10-07,29.88,76.38,1,1.76
2023-10-07,29.94,76.14,2,4.19
2023-10-07,29.94,76.86,1,2.59
2023-10-07,30.12,77.10,2,4.08
2023-10-07,30.24,76.14,1,2.47
2023-10-07,30.30,76.32,1,2.86
2023-10-07,30.36,76.98,2,5.40
2023-10-07,30.36,77.04,1,1.91
2023-10-07,30.42,77.04,1,2.64
2023-10-07,30.72,76.38,1,2.47
2023-10-07,30.96,74.52,1,5.64
2023-10-07,31.26,75.12,3,18.38
2023-10-07,31.26,76.92,1,0.92
2023-10-07,31.32,74.82,1,3.99
2023-10-07,31.32,75.06,1,2.88
2023-10-07,31.32,75.24,1,5.44
2023-10-07,31.50,75.00,1,3.08
2023-10-07,31.50,75.24,1,6.13
2023-10-07,31.56,74.76,1,4.54
2023-10-07,31.56,74.82,1,5.29
2023-10-07,31.56,75.06,2,9.66
2023-10-07,31.62,75.06,3,12.49
2023-10-07,31.62,75.18,1,1.88
2023-10-07,31.62,75.24,1,3.03
2023-10-07,31.68,74.94,1,1.46
2023-10-07,31.68,75.00,1,2.44
2023-10-07,31.68,75.06,2,6.80
2023-10-07,31.68,75.12,1,2.15
2023-10-07,31.74,74.94,2,11.05
2023-10-07,31.80,74.58,1,2.17
2023-10-07,31.80,74.94,1,6.16
2023-10-07,31.80,75.06,1,3.38
2023-10-08,27.54,77.52,1,2.85
2023-10-08,27.66,76.14,1,1.66
2023-10-08,27.72,77.58,1,2.34
2023-10-08,27.78,77.34,2,5.66
2023-10-08,28.02,77.64,1,2.38
2023-10-08,28.02,77.70,2,9.22
2023-10-08,28.02,77.76,1,4.27
2023-10-08,28.14,77.40,1,3.02
2023-10-08,28.32,75.12,1,5.06
2023-10-08,28.56,78.60,1,1.71
2023-10-08,28.68,77.58,1,0.40
2023-10-08,28.92,77.16,2,4.93
2023-10-08,28.98,76.62,1,2.35
2023-10-08,29.10,75.78,1,1.83
2023-10-08,29.10,75.96,1,5.16
2023-10-08,29.10,77.04,1,2.24
2023-10-08,29.22,76.08,1,3.16
2023-10-08,29.34,75.84,1,2.82
2023-10-08,29.34,76.56,1,2.65
2023-10-08,29.34,76.92,1,1.27
2023-10-08,29.40,76.32,1,3.22
2023-10-08,29.46,75.78,1,3.54
2023-10-08,29.52,76.02,1,2.26
2023-10-08,29.58,74.28,1,10.26
2023-10-08,29.58,75.90,1,4.85
2023-10-08,29.58,76.02,1,1.96
2023-10-08,29.58,76.08,2,7.80
2023-10-08,29.64,74.52,2,16.34
2023-10-08,29.64,75.84,3,14.21
2023-10-08,29.64,75.90,3,11.94
2023-10-08,29.64,76.56,1,2.20
2023-10-08,29.70,76.08,1,2.22
2023-10-08,29.76,76.20,1,3.05
2023-10-08,29.76,77.04,2,4.57
2023-10-08,29.82,76.02,1,3.88
2023-10-08,29.82,76.14,1,5.62
2023-10-08,29.88,76.08,1,1.92
